Base Word;Translate (uzbek);Guideword;Level;Part of Speech;Topic;Details;
if;;WOULD/MIGHT/COULD HAVE;B2;;;Details;
while;;ALTHOUGH;B2;;communication;Details;
or;;CHANGE;B2;;communication;Details;
provided (that);;;B2;;communication;Details;
whereas;;;B2;;communication;Details;
now;;;B2;;;Details;
once;;;B2;;;Details;
though;;BUT;B2;;;Details;
when;;ALTHOUGH;B2;;;Details;
where;;PROCESS/ACTIVITY;B2;;;Details;
grant;;GIVE;B2;verb;communication;Details;
acquire;;GET;B2;verb;people: actions;Details;
ensure;;;B2;verb;people: actions;Details;
descend;;;B2;verb;people: actions;Details;
gender;;SEX;B2;noun;people: appearance;Details;
guts;;BRAVERY;B2;noun;people: personality;Details;
fancy;;PERSON;B2;verb;relationships;Details;
consume;;EAT OR DRINK;B2;verb;;Details;
cease;;;B2;verb;;Details;
heaven;;SOMETHING NICE;B2;noun;;Details;
get;;UNDERSTAND/HEAR;B2;verb;;Details;
dissatisfaction;;;B2;noun;people: personality;Details;
disability;;;B2;noun;body and health;Details;
disagreement;;;B2;noun;communication;Details;
dishonesty;;;B2;noun;people: personality;Details;
discourage;;MAKE LESS CONFIDENT;B2;verb;communication;Details;
disapprove;;;B2;verb;people: personality;Details;
invade;;WAR;B2;verb;people: actions;Details;
input;;COMPUTER;B2;noun;technology;Details;
interfere;;TRY TO CONTROL;B2;verb;people: actions;Details;
commercial;;;B2;noun;arts and media;Details;
musical;;;B2;noun;arts and media;Details;
approval;;PERMISSION;B2;noun;communication;Details;
chemical;;;B2;noun;natural world;Details;
disposal;;REMOVAL;B2;noun;people: actions;Details;
appearance;;IN PUBLIC;B2;noun;arts and media;Details;
guidance;;;B2;noun;communication;Details;
insurance;;;B2;noun;money;Details;
assistance;;;B2;noun;people: actions;Details;
maintenance;;;B2;noun;people: actions;Details;
confidence;;CERTAIN;B2;noun;people: personality;Details;
independence;;WITHOUT HELP;B2;noun;people: personality;Details;
intelligence;;;B2;noun;people: personality;Details;
influence;;POWER;B2;noun;people: personality;Details;
bestseller;;;B2;noun;arts and media;Details;
learner;;;B2;noun;education;Details;
helper;;;B2;noun;people: actions;Details;
consumer;;;B2;noun;shopping;Details;
defender;;;B2;noun;shopping;Details;
browser;;;B2;noun;technology;Details;
