Base Word;Translate (uzbek);Guideword;Level;Part of Speech;Topic;Details
vegetable;;;A1;noun;food and drink;Details
sandwich;;;A1;noun;food and drink;Details
bar;;DRINKING PLACE;A2;noun;food and drink;Details
barbecue;;PARTY;A2;noun;food and drink;Details
bottle;;;A2;noun;food and drink;Details
bowl;;;A2;noun;food and drink;Details
burger;;;A2;noun;food and drink;Details
cafeteria;;;A2;noun;food and drink;Details
cookie;;FOOD;A2;noun;food and drink;Details
dish;;CONTAINER;A2;noun;food and drink;Details
fork;;;A2;noun;food and drink;Details
grape;;;A2;noun;food and drink;Details
main course;;;A2;noun;food and drink;Details
menu;;FOOD;A2;noun;food and drink;Details
mug;;;A2;noun;food and drink;Details
mushroom;;;A2;noun;food and drink;Details
potato chip;;;A2;noun;food and drink;Details
slice;;;A2;noun;food and drink;Details
snack;;;A2;noun;food and drink;Details
soft drink;;;A2;noun;food and drink;Details
spoon;;;A2;noun;food and drink;Details
stove;;;A2;noun;food and drink;Details
fast food;;;A2;noun;food and drink;Details
garlic;;;A2;noun;food and drink;Details
ham;;;A2;noun;food and drink;Details
honey;;;A2;noun;food and drink;Details
jam;;SWEET FOOD;A2;noun;food and drink;Details
lemonade;;;A2;noun;food and drink;Details
mineral water;;;A2;noun;food and drink;Details
pasta;;;A2;noun;food and drink;Details
pepper;;POWDER;A2;noun;food and drink;Details
toast;;BREAD;A2;noun;food and drink;Details
candy;;;A2;noun;food and drink;Details
carrot;;VEGETABLE;A2;noun;food and drink;Details
cereal;;BREAKFAST FOOD;A2;noun;food and drink;Details
cola;;;A2;noun;food and drink;Details
curry;;;A2;noun;food and drink;Details
dessert;;;A2;noun;food and drink;Details
lemon;;;A2;noun;food and drink;Details
lunchtime;;;A2;noun;food and drink;Details
mango;;;A2;noun;food and drink;Details
melon;;;A2;noun;food and drink;Details
oil;;FOR COOKING;A2;noun;food and drink;Details
onion;;;A2;noun;food and drink;Details
pear;;;A2;noun;food and drink;Details
salad;;;A2;noun;food and drink;Details
sauce;;;A2;noun;food and drink;Details
sausage;;;A2;noun;food and drink;Details
steak;;;A2;noun;food and drink;Details
supper;;;A2;noun;food and drink;Details
yogurt;;;A2;noun;food and drink;Details
sweets;;;A2;noun;food and drink;Details
bake;;;A2;verb;food and drink;Details
roast;;;A2;verb;food and drink;Details
alcohol;;;A2;noun;food and drink;Details
champagne;;;A2;noun;food and drink;Details
fried;;;A2;adjective;food and drink;Details
grilled;;;A2;adjective;food and drink;Details
thirsty;;;A2;adjective;food and drink;Details
fresh;;NOT OLD;A2;adjective;food and drink;Details
hot chocolate;;;A2;phrase;food and drink;Details
the dishes;;;A2;phrase;food and drink;Details
floor;pol;SURFACE;A1;noun;homes and buildings;Details
farm;ferma;;A1;noun;homes and buildings;Details
museum;muzey;;A1;noun;homes and buildings;Details
dining room;oshxona;;A1;noun;homes and buildings;Details
chair;;;A1;noun;homes and buildings;Details
bedroom;;;A1;noun;homes and buildings;Details
bathroom;;ROOM;A1;noun;homes and buildings;Details
address;;BUILDING DETAILS;A1;noun;homes and buildings;Details
home;;;A1;noun;homes and buildings;Details
bed;;FOR SLEEP;A1;noun;homes and buildings;Details
window;;GLASS;A1;noun;homes and buildings;Details
wall;;;A1;noun;homes and buildings;Details
toilet;;CONTAINER;A1;noun;homes and buildings;Details
table;;FURNITURE;A1;noun;homes and buildings;Details
room;;PART OF BUILDING;A1;noun;homes and buildings;Details
living room;;;A1;noun;homes and buildings;Details
kitchen;;;A1;noun;homes and buildings;Details
